ID,endpoint
C117509,https://myntfintech.testrail.io/index.php?/api/v2/get_case/117509
C487548,https://myntfintech.testrail.io/index.php?/api/v2/get_case/487548
C487549,https://myntfintech.testrail.io/index.php?/api/v2/get_case/487549
C487550,https://myntfintech.testrail.io/index.php?/api/v2/get_case/487550
C487551,https://myntfintech.testrail.io/index.php?/api/v2/get_case/487551
C671689,https://myntfintech.testrail.io/index.php?/api/v2/get_case/671689
C671690,https://myntfintech.testrail.io/index.php?/api/v2/get_case/671690
C671691,https://myntfintech.testrail.io/index.php?/api/v2/get_case/671691
C1097771,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1097771
C1097772,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1097772
C1097773,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1097773
C1097774,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1097774
C1097775,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1097775
C1097776,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1097776
C1097777,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1097777
C1097778,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1097778
C1097779,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1097779
C1097780,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1097780
C1097781,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1097781
C1097782,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1097782
C1097783,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1097783
C1098268,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1098268
C1098269,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1098269
C1098270,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1098270
C1098271,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1098271
C1098272,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1098272
C1098273,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1098273
C1098274,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1098274
C1098275,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1098275
C1098276,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1098276
C1499678,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1499678
C1499679,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1499679
C1499680,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1499680
C1499681,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1499681
C1499682,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1499682
C1499683,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1499683
C1542968,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1542968
C1542969,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1542969
C1610365,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1610365
C1610366,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1610366
C1509701,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1509701
C1509702,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1509702
C1509703,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1509703
C1509704,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1509704
C1509705,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1509705
C1509706,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1509706
C1509707,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1509707
C1509708,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1509708
C1509713,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1509713
C1509714,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1509714
C1509715,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1509715
C1509716,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1509716
C1509717,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1509717
C1509718,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1509718
C1509722,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1509722
C1509723,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1509723
C1509724,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1509724
C1509725,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1509725
C1509728,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1509728
C1509729,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1509729
C1509730,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1509730
C1509731,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1509731
C1216347,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1216347
C1216348,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1216348
C1216349,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1216349
C1543595,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1543595
C1543596,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1543596
C1543597,https://myntfintech.testrail.io/index.php?/api/v2/get_case/1543597
